,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
138,TOA BAJA,RURAL,222,78092,2.842800799057522
48,CULEBRA,RURAL,5,1769,2.826455624646693
28,CANOVANAS,RURAL,120,45823,2.6187722322850973
64,GURABO,RURAL,122,47109,2.5897386911205924
136,TOA ALTA,RURAL,188,73217,2.567709684909242
34,CAYEY,RURAL,113,44027,2.5666068548845025
52,FAJARDO,RURAL,80,31324,2.5539522410930915
140,TRUJILLO ALTO,RURAL,145,66675,2.1747281589801277
58,GUAYAMA,RURAL,87,41281,2.1075070855841673
24,CAGUAS,RURAL,252,129604,1.9443844325792414
62,GUAYNABO,RURAL,168,87328,1.9237816049835104
20,BAYAMON,RURAL,283,179565,1.5760309637178738
114,PONCE,RURAL,142,140859,1.0081002988804406
30,CAROLINA,RURAL,144,154489,0.932105198428367
128,SAN JUAN,RURAL,217,337288,0.6433670928108917
32,CATANO,RURAL,11,24374,0.4513005661770739
