,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
78,JUNCOS,RURAL,140,39101,3.5804710876959667
92,MANATI,RURAL,140,39103,3.5802879574457203
104,NAGUABO,RURAL,93,26177,3.552737135653436
70,HUMACAO,RURAL,187,52771,3.5436129692444713
36,CEIBA,RURAL,41,11602,3.533873470091364
0,ADJUNTAS,RURAL,63,17971,3.505647988425797
76,JUANA DIAZ,RURAL,160,46400,3.4482758620689653
124,SALINAS,RURAL,96,28216,3.4023249220300538
88,LOIZA,RURAL,87,25926,3.3557046979865772
90,LUQUILLO,RURAL,60,18311,3.276718912129321
144,VEGA ALTA,RURAL,122,37566,3.2476175264867164
98,MAYAGUEZ,RURAL,242,75525,3.204237007613373
120,RIO GRANDE,RURAL,156,50128,3.1120331950207465
50,DORADO,RURAL,114,37026,3.0789175174201913
14,ARROYO,RURAL,54,17881,3.019965326324031
