,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
56,GUANICA,RURAL,111,16363,6.783597139888773
132,SAN SEBASTIAN,RURAL,242,37306,6.486892188924034
148,VIEQUES,RURAL,55,8669,6.344445726150652
82,LARES,RURAL,162,25772,6.285891665373273
4,AGUADILLA,RURAL,320,53164,6.019110676397562
118,RINCON,RURAL,85,14128,6.016421291053228
84,LAS MARIAS,RURAL,50,8402,5.950964056177101
106,NARANJITO,RURAL,161,28306,5.687840033915071
26,CAMUY,RURAL,180,31732,5.672507248203706
80,LAJAS,RURAL,129,22929,5.62606306424179
116,QUEBRADILLAS,RURAL,133,23734,5.603775174854639
44,COMERIO,RURAL,106,19343,5.480018611383963
66,HATILLO,RURAL,214,40111,5.335194834334721
6,AGUAS BUENAS,RURAL,137,25850,5.299806576402322
94,MARICAO,RURAL,30,5665,5.29567519858782
22,CABO ROJO,RURAL,257,48824,5.263804686219892
