,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
154,YAUCO,RURAL,187,35635,5.247649782517188
72,ISABELA,RURAL,220,41949,5.244463515220864
60,GUAYANILLA,RURAL,95,18611,5.104508086615443
12,ARECIBO,RURAL,437,86066,5.077498663816141
68,HORMIGUEROS,RURAL,81,16032,5.052395209580839
54,FLORIDA,RURAL,59,11775,5.010615711252654
96,MAUNABO,RURAL,54,10808,4.996299037749814
38,CIALES,RURAL,82,16627,4.931737535334095
126,SAN GERMAN,RURAL,156,31654,4.928287104315411
108,OROCOVIS,RURAL,103,21109,4.879435311952248
150,VILLALBA,RURAL,108,22528,4.794034090909091
46,COROZAL,RURAL,160,33694,4.748619932332166
86,LAS PIEDRAS,RURAL,174,37659,4.620409463873178
100,MOCA,RURAL,165,36328,4.541951112089848
18,BARRANQUITAS,RURAL,128,28511,4.489495282522535
