,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
36,CEIBA,RURAL,41,11602,3.533873470091364
0,ADJUNTAS,RURAL,63,17971,3.505647988425797
76,JUANA DIAZ,RURAL,160,46400,3.4482758620689653
124,SALINAS,RURAL,96,28216,3.4023249220300538
141,TRUJILLO ALTO,URBANO,225,66675,3.374578177727784
88,LOIZA,RURAL,87,25926,3.3557046979865772
149,VIEQUES,URBANO,29,8669,3.3452532010612526
15,ARROYO,URBANO,59,17881,3.299591745428108
35,CAYEY,URBANO,145,44027,3.2934335748517958
90,LUQUILLO,RURAL,60,18311,3.276718912129321
59,GUAYAMA,URBANO,135,41281,3.270269615561639
144,VEGA ALTA,RURAL,122,37566,3.2476175264867164
98,MAYAGUEZ,RURAL,242,75525,3.204237007613373
71,HUMACAO,URBANO,167,52771,3.1646169297530844
120,RIO GRANDE,RURAL,156,50128,3.1120331950207465
93,MANATI,URBANO,121,39103,3.0943917346495153
50,DORADO,RURAL,114,37026,3.0789175174201913
14,ARROYO,RURAL,54,17881,3.019965326324031
37,CEIBA,URBANO,35,11602,3.016721254956042
9,AIBONITO,URBANO,67,23108,2.8994287692574
138,TOA BAJA,RURAL,222,78092,2.842800799057522
48,CULEBRA,RURAL,5,1769,2.826455624646693
69,HORMIGUEROS,URBANO,45,16032,2.80688622754491
1,ADJUNTAS,URBANO,50,17971,2.7822603082744424
123,SABANA GRANDE,URBANO,62,22690,2.732481269281622
147,VEGA BAJA,URBANO,139,52436,2.6508505606835
155,YAUCO,URBANO,94,35635,2.6378560404097096
121,RIO GRANDE,URBANO,132,50128,2.6332588573252473
91,LUQUILLO,URBANO,48,18311,2.621375129703457
28,CANOVANAS,RURAL,120,45823,2.6187722322850973
113,PENUELAS,URBANO,53,20447,2.592067295935834
