,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
97,MAUNABO,URBANO,19,10808,1.757957068837898
81,LAJAS,URBANO,39,22929,1.700902786863797
125,SALINAS,URBANO,46,28216,1.6302806918060675
119,RINCON,URBANO,23,14128,1.6279728199320498
20,BAYAMON,RURAL,283,179565,1.5760309637178738
153,YABUCOA,URBANO,50,33629,1.4868119777572928
47,COROZAL,URBANO,50,33694,1.483943728853802
41,CIDRA,URBANO,59,39813,1.4819280134629393
151,VILLALBA,URBANO,32,22528,1.4204545454545454
45,COMERIO,URBANO,27,19343,1.3958537972393112
101,MOCA,URBANO,46,36328,1.266240916097776
87,LAS PIEDRAS,URBANO,47,37659,1.2480416367933296
133,SAN SEBASTIAN,URBANO,46,37306,1.2330456226880395
39,CIALES,URBANO,19,16627,1.1427196728213147
83,LARES,URBANO,29,25772,1.1252522117026231
55,FLORIDA,URBANO,13,11775,1.1040339702760085
57,GUANICA,URBANO,18,16363,1.1000427794414227
103,MOROVIS,URBANO,33,31092,1.061366267850251
27,CAMUY,URBANO,32,31732,1.0084457330139922
114,PONCE,RURAL,142,140859,1.0081002988804406
3,AGUADA,URBANO,37,38118,0.9706700246602654
30,CAROLINA,RURAL,144,154489,0.932105198428367
7,AGUAS BUENAS,URBANO,24,25850,0.9284332688588007
117,QUEBRADILLAS,URBANO,20,23734,0.8426729586247578
85,LAS MARIAS,URBANO,6,8402,0.714115686741252
128,SAN JUAN,RURAL,217,337288,0.6433670928108917
67,HATILLO,URBANO,23,40111,0.5734087906060682
109,OROCOVIS,URBANO,11,21109,0.5211047420531526
32,CATANO,RURAL,11,24374,0.4513005661770739
107,NARANJITO,URBANO,11,28306,0.3886101886525825
19,BARRANQUITAS,URBANO,10,28511,0.350741818947073
95,MARICAO,URBANO,1,5665,0.17652250661959398
