,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
64,GURABO,RURAL,122,47109,2.5897386911205924
136,TOA ALTA,RURAL,188,73217,2.567709684909242
34,CAYEY,RURAL,113,44027,2.5666068548845025
52,FAJARDO,RURAL,80,31324,2.5539522410930915
43,COAMO,URBANO,95,39071,2.4314709119295643
75,JAYUYA,URBANO,34,14625,2.3247863247863245
51,DORADO,URBANO,86,37026,2.322692162264355
111,PATILLAS,URBANO,39,17004,2.293577981651376
143,UTUADO,URBANO,66,28791,2.292383036365531
29,CANOVANAS,URBANO,105,45823,2.29142570324946
49,CULEBRA,URBANO,4,1769,2.261164499717354
11,ANASCO,URBANO,60,27059,2.2173768431945007
140,TRUJILLO ALTO,RURAL,145,66675,2.1747281589801277
79,JUNCOS,URBANO,85,39101,2.1738574461011226
89,LOIZA,URBANO,56,25926,2.1599938285890614
58,GUAYAMA,RURAL,87,41281,2.1075070855841673
105,NAGUABO,URBANO,54,26177,2.0628796271536083
135,SANTA ISABEL,URBANO,45,21863,2.0582719663358184
61,GUAYANILLA,URBANO,37,18611,1.9880715705765406
137,TOA ALTA,URBANO,144,73217,1.9667563543985687
23,CABO ROJO,URBANO,96,48824,1.9662461084712437
73,ISABELA,URBANO,82,41949,1.9547545829459585
24,CAGUAS,RURAL,252,129604,1.9443844325792414
145,VEGA ALTA,URBANO,73,37566,1.943246552733855
13,ARECIBO,URBANO,167,86066,1.9403713429228733
62,GUAYNABO,RURAL,168,87328,1.9237816049835104
77,JUANA DIAZ,URBANO,87,46400,1.875
65,GURABO,URBANO,88,47109,1.8680082362181325
17,BARCELONETA,URBANO,45,24240,1.8564356435643563
5,AGUADILLA,URBANO,97,53164,1.824542923783011
131,SAN LORENZO,URBANO,67,37379,1.7924503063217316
