,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
129,SAN JUAN,URBANO,2531,337288,7.5039728659187395
56,GUANICA,RURAL,111,16363,6.783597139888773
21,BAYAMON,URBANO,1174,179565,6.538022443126445
115,PONCE,URBANO,919,140859,6.524254751205106
132,SAN SEBASTIAN,RURAL,242,37306,6.486892188924034
148,VIEQUES,RURAL,55,8669,6.344445726150652
82,LARES,RURAL,162,25772,6.285891665373273
33,CATANO,URBANO,150,24374,6.154098629687372
4,AGUADILLA,RURAL,320,53164,6.019110676397562
118,RINCON,RURAL,85,14128,6.016421291053228
84,LAS MARIAS,RURAL,50,8402,5.950964056177101
106,NARANJITO,RURAL,161,28306,5.687840033915071
26,CAMUY,RURAL,180,31732,5.672507248203706
80,LAJAS,RURAL,129,22929,5.62606306424179
31,CAROLINA,URBANO,866,154489,5.60557709610393
116,QUEBRADILLAS,RURAL,133,23734,5.603775174854639
44,COMERIO,RURAL,106,19343,5.480018611383963
66,HATILLO,RURAL,214,40111,5.335194834334721
6,AGUAS BUENAS,RURAL,137,25850,5.299806576402322
53,FAJARDO,URBANO,166,31324,5.299450900268165
94,MARICAO,RURAL,30,5665,5.29567519858782
22,CABO ROJO,RURAL,257,48824,5.263804686219892
154,YAUCO,RURAL,187,35635,5.247649782517188
72,ISABELA,RURAL,220,41949,5.244463515220864
60,GUAYANILLA,RURAL,95,18611,5.104508086615443
12,ARECIBO,RURAL,437,86066,5.077498663816141
68,HORMIGUEROS,RURAL,81,16032,5.052395209580839
54,FLORIDA,RURAL,59,11775,5.010615711252654
96,MAUNABO,RURAL,54,10808,4.996299037749814
25,CAGUAS,URBANO,641,129604,4.945835005092436
38,CIALES,RURAL,82,16627,4.931737535334095
