,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
65,GURABO,URBANO,88,47109,1.8680082362181325
17,BARCELONETA,URBANO,45,24240,1.8564356435643563
5,AGUADILLA,URBANO,97,53164,1.824542923783011
131,SAN LORENZO,URBANO,67,37379,1.7924503063217316
97,MAUNABO,URBANO,19,10808,1.757957068837898
81,LAJAS,URBANO,39,22929,1.700902786863797
125,SALINAS,URBANO,46,28216,1.6302806918060675
119,RINCON,URBANO,23,14128,1.6279728199320498
153,YABUCOA,URBANO,50,33629,1.4868119777572928
47,COROZAL,URBANO,50,33694,1.483943728853802
41,CIDRA,URBANO,59,39813,1.4819280134629393
151,VILLALBA,URBANO,32,22528,1.4204545454545454
45,COMERIO,URBANO,27,19343,1.3958537972393112
101,MOCA,URBANO,46,36328,1.266240916097776
87,LAS PIEDRAS,URBANO,47,37659,1.2480416367933296
