,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
133,SAN SEBASTIAN,URBANO,46,37306,1.2330456226880395
39,CIALES,URBANO,19,16627,1.1427196728213147
83,LARES,URBANO,29,25772,1.1252522117026231
55,FLORIDA,URBANO,13,11775,1.1040339702760085
57,GUANICA,URBANO,18,16363,1.1000427794414227
103,MOROVIS,URBANO,33,31092,1.061366267850251
27,CAMUY,URBANO,32,31732,1.0084457330139922
3,AGUADA,URBANO,37,38118,0.9706700246602654
7,AGUAS BUENAS,URBANO,24,25850,0.9284332688588007
117,QUEBRADILLAS,URBANO,20,23734,0.8426729586247578
85,LAS MARIAS,URBANO,6,8402,0.714115686741252
67,HATILLO,URBANO,23,40111,0.5734087906060682
109,OROCOVIS,URBANO,11,21109,0.5211047420531526
107,NARANJITO,URBANO,11,28306,0.3886101886525825
19,BARRANQUITAS,URBANO,10,28511,0.350741818947073
95,MARICAO,URBANO,1,5665,0.17652250661959398
