,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
111,PATILLAS,URBANO,39,17004,2.293577981651376
143,UTUADO,URBANO,66,28791,2.292383036365531
29,CANOVANAS,URBANO,105,45823,2.29142570324946
49,CULEBRA,URBANO,4,1769,2.261164499717354
11,ANASCO,URBANO,60,27059,2.2173768431945007
79,JUNCOS,URBANO,85,39101,2.1738574461011226
89,LOIZA,URBANO,56,25926,2.1599938285890614
105,NAGUABO,URBANO,54,26177,2.0628796271536083
135,SANTA ISABEL,URBANO,45,21863,2.0582719663358184
61,GUAYANILLA,URBANO,37,18611,1.9880715705765406
137,TOA ALTA,URBANO,144,73217,1.9667563543985687
23,CABO ROJO,URBANO,96,48824,1.9662461084712437
73,ISABELA,URBANO,82,41949,1.9547545829459585
145,VEGA ALTA,URBANO,73,37566,1.943246552733855
13,ARECIBO,URBANO,167,86066,1.9403713429228733
77,JUANA DIAZ,URBANO,87,46400,1.875
