,ResidencePlace,ResidenceZone,Deaths,respop72017,death_rate
129,SAN JUAN,URBANO,2531,337288,7.5039728659187395
21,BAYAMON,URBANO,1174,179565,6.538022443126445
115,PONCE,URBANO,919,140859,6.524254751205106
33,CATANO,URBANO,150,24374,6.154098629687372
31,CAROLINA,URBANO,866,154489,5.60557709610393
53,FAJARDO,URBANO,166,31324,5.299450900268165
25,CAGUAS,URBANO,641,129604,4.945835005092436
63,GUAYNABO,URBANO,422,87328,4.832356174422865
99,MAYAGUEZ,URBANO,335,75525,4.435617345249917
139,TOA BAJA,URBANO,287,78092,3.6751523843671565
127,SAN GERMAN,URBANO,112,31654,3.538257408226449
141,TRUJILLO ALTO,URBANO,225,66675,3.374578177727784
149,VIEQUES,URBANO,29,8669,3.3452532010612526
15,ARROYO,URBANO,59,17881,3.299591745428108
35,CAYEY,URBANO,145,44027,3.2934335748517958
59,GUAYAMA,URBANO,135,41281,3.270269615561639
